Timestamp,Electric Demand (Student 010 > Electric Meter) [(kWh)],Outdoor Dew Point (Student 010 > Weather Station) [(deg. F)],Outdoor Temperature (Student 010 > Weather Station) [(deg. F)],Optimal Electric Demand kWh (Student 010 > Electric Meter) [(kWh)]
02/16/2016 19:35:59,79.26960047,20.73200385,25.6640077,77.80401596
02/16/2016 23:35:59,76.97279275,19.40000175,23.4320021,72.89199209
02/17/2016 03:35:59,135.1927761,17.16799615,19.57999825,124.267978
02/17/2016 07:35:59,153.2695997,29.7679944,36.6079979,137.4600044
02/17/2016 11:35:59,141.340018,33.44000175,35.85200385,136.8900052
02/17/2016 15:35:59,93.91283043,32,33.98,90.12002129
02/17/2016 19:35:59,72.7255995,32.4320021,37.4359923,77.57000836
02/17/2016 23:35:59,74.58239571,29.73200385,36.2120056,73.46999378
02/18/2016 03:35:59,143.7879712,27.6079979,35.59999825,122.8059675
02/18/2016 07:35:59,163.4079971,21.81200385,45.24799615,148.9400053
02/18/2016 11:35:59,158.9376161,28.14799615,41.79200385,142.370009
02/18/2016 15:35:59,105.1840321,28.57999825,37.40000175,89.51001818
02/18/2016 19:35:59,83.13440831,32,34.4120021,75.86001604
02/18/2016 23:35:59,78.28479683,31.5679979,33.98,71.86599347
02/19/2016 03:35:59,138.3503743,33.61999825,34.6279979,123.9819734
02/19/2016 07:35:59,148.991206,35.59999825,36.6079979,134.8680017
02/19/2016 11:35:59,143.0288108,37.94,38.3720021,137.472005
02/19/2016 15:35:59,95.04402808,48.81200385,49.3520021,90.7100209
02/19/2016 19:35:59,72.43041049,37.9760098,39.41601155,70.70601855
02/19/2016 23:35:59,69.24319792,33.61999825,34.26799615,60.88399545
02/20/2016 03:35:59,79.9407954,30.02,35.59999825,71.22999485
02/20/2016 07:35:59,83.05999876,24.44000175,46.04,83.90601729
02/20/2016 11:35:59,80.43520464,21.38000175,47.3720021,74.83000253
02/20/2016 15:35:59,79.46399899,26.06,42.08,71.90599881
02/20/2016 19:35:59,78.85519838,27.24799615,41.79200385,76.49800762
02/20/2016 23:35:59,79.09840007,26.96,41,71.28600066
02/21/2016 03:35:59,69.77840155,29.22799615,37.79599405,69.75399613
02/21/2016 07:35:59,69.46400342,32.75599405,47.3720021,76.42000836
02/21/2016 11:35:59,71.64000447,33.44000175,48.55999825,73.38199918
02/21/2016 15:35:59,79.66079897,28.5440077,41.75599405,71.65999222
02/21/2016 19:35:59,79.91599887,26.59999825,41,77.20000681
02/21/2016 23:35:59,86.23598394,30.55999825,40.3520021,74.77399487
02/22/2016 03:35:59,150.4855645,12.81200385,34.4120021,126.009961
02/22/2016 07:35:59,166.1632002,12.02,35.06,142.6520094
02/22/2016 11:35:59,159.3152125,8.85200385,34.4120021,137.2760116
02/22/2016 15:35:59,108.4560201,7.6279979,27.3920021,88.72401402
02/22/2016 19:35:59,86.53360079,5.6479979,23.4320021,83.27801122
02/23/2016 02:23:59,125.3335417,5,19.94,99.26396842
02/23/2016 06:23:59,161.6440069,5.4319976,24.08,140.1340013
02/23/2016 10:23:59,161.6624032,6.98,29.3719976,139.5300033
02/23/2016 14:23:59,125.1504393,10.04,24.98,101.8600293
02/23/2016 18:23:59,85.80400418,8.06,21.1280044,83.25999578
02/23/2016 22:23:59,80.61120043,3.92,17.600002,74.62999933
02/24/2016 02:23:59,128.2527653,8.06,17.06,99.81196282
02/24/2016 06:23:59,160.9872034,8.96,24.8719956,139.2919967
02/24/2016 10:23:59,159.1248004,8.8519956,30.02,139.4860039
02/24/2016 14:23:59,124.7264351,1.04,24.98,100.9700286
02/24/2016 18:23:59,88.63360515,-8.3919976,17.1680044,86.30599413
02/24/2016 22:23:59,81.10479957,-8.6080024,13.5680024,77.26200049
02/25/2016 02:23:59,124.9767415,-2.92,10.94,98.72996678
02/25/2016 06:23:59,160.9495979,6.5839912,24.3679864,140.1759941
02/25/2016 10:23:59,158.5992054,23.4319976,27.6080024,137.8580004
02/25/2016 14:23:59,127.3960304,8.4560088,26.8160068,104.2020318
02/25/2016 18:23:59,85.28720469,13.5680024,18.6080024,81.45199838
02/25/2016 22:23:59,79.90479917,-9.04,11.5880024,76.77399898
